#Supplementary Table 2 Summary of protein targets measured using the Olink Explore HT platform,,,,,,,,,,,,,,,,,,,,,,,,,,,
#sd - standard deviation; cv - coefficient of variation; p.dip - p-value of a dip test for multi-modal distribution: cis.pQTL - whehter or not a cis-pQTL was identified; med.pred = median (and 25th and 75th percentil) value of predicted correlation coefficient across all protein groups measued; Seer ID - best correlating Seer protein group; spear.seer = associated Spearman correlation coefficient; SomaLogic ID = best correlating aptamer ID; spear.soma = associated Spearman correlation coefficient
#
Olink ID,OlinkID_vendor,Assay,UniProt,Block,missing.per.olink,below.lod.per.olink,cv.olink,mean.cv.olink,sd.cv.olink,n.olink,mean.l2.olink,sd.l2.olink,median.l2.olink,min.l2.olink,max.l2.olink,faction.outlier.olink,p.dip.olink,cis.pQTL.olink,cis.pav.olink,med.pred,p25.pred,p75.pred,Seer ID,spear.seer,SomaLogic ID,spear.soma,correlation.cluster
ABRA_40759,OID40759,ABRA,Q8N0Z2,2,0.14,67.32,99.35,-2.00,2.12,22.00,-1.86,2.60,-1.36,-8.10,6.62,0.00,0.00,FALSE,FALSE,0.01,0.01,0.01,prot.4382,0.03,seq.28291.11,-0.05,
ACAA1_42082,OID42082,ACAA1,P09110,3,0.00,30.48,21.02,0.56,0.29,22.00,0.30,0.94,0.22,-2.68,5.75,0.01,0.99,FALSE,FALSE,0.48,0.48,0.48,prot.1924,0.66,seq.17782.23,0.74,
ACAD9_40004,OID40004,ACAD9,Q9H845,1,0.00,73.97,172.56,-0.04,3.26,22.00,0.29,3.10,0.01,-5.42,7.23,0.02,0.00,FALSE,FALSE,0.05,0.05,0.05,prot.5514,0.06,,,
ACADM_42083,OID42083,ACADM,P11310,3,0.00,42.24,33.67,-1.35,0.53,22.00,-0.34,1.34,-0.59,-4.51,8.73,0.03,1.00,FALSE,FALSE,0.14,0.14,0.15,prot.2023,0.12,seq.17333.20,0.13,
ACADSB_44433,OID44433,ACADSB,P45954,5,0.07,1.67,37.57,2.57,0.56,22.00,2.90,0.86,2.87,-0.19,8.80,0.00,0.99,TRUE,FALSE,0.64,0.63,0.64,prot.2649,0.66,seq.17403.14,0.44,
ACAN_44434,OID44434,ACAN,P16112,5,0.07,5.36,12.24,0.65,0.16,22.00,0.34,0.38,0.36,-0.97,2.40,0.00,0.99,FALSE,FALSE,0.54,0.53,0.54,prot.882,0.61,seq.3280.49,0.48,
ACBD7_40760,OID40760,ACBD7,Q8N6N7,2,0.14,81.95,34.95,-1.76,0.54,22.00,-1.25,0.97,-1.37,-3.60,5.38,0.00,0.90,FALSE,FALSE,0.04,0.04,0.05,,,seq.13563.259,0.00,
ACE2_43317,OID43317,ACE2,Q9BYF1,4,0.00,5.08,20.49,-0.53,0.28,22.00,-0.68,0.75,-0.81,-2.47,4.05,0.01,1.00,TRUE,FALSE,0.17,0.16,0.17,,,seq.2805.6,0.00,
ACE_45300,OID45300,ACE,P12821,7,0.07,3.13,11.28,0.16,0.17,22.00,0.26,0.45,0.23,-1.06,3.01,0.00,1.00,TRUE,FALSE,0.59,0.58,0.60,prot.2052,0.12,seq.10714.7,0.72,
ACHE_44435,OID44435,ACHE,P22303,5,0.07,11.56,10.61,-0.23,0.15,22.00,0.23,0.37,0.21,-1.05,2.42,0.00,0.99,TRUE,FALSE,0.63,0.62,0.63,prot.2276,0.19,seq.10980.11,0.72,
ACIN1_40761,OID40761,ACIN1,Q9UKV3,2,0.14,93.10,56.16,-3.07,0.93,22.00,-2.45,1.34,-2.38,-9.83,4.69,0.00,0.99,FALSE,FALSE,0.04,0.04,0.04,,,,,
ACOT12_40762,OID40762,ACOT12,Q8WYK0,2,0.14,92.26,360.15,-0.09,2.22,22.00,-0.02,2.60,0.22,-6.10,10.31,0.00,0.00,FALSE,FALSE,0.02,0.02,0.02,,,seq.23601.43,0.00,
